query_id,answer
00WuFMaXSFZBxSzT,980953f92323e8d6 c90da827b4ad7b5a 75d44a1b48f4faab afb14ba082200999 2f82afc9946e6c84 f61c2546f43fc8d8 f3e39b2798e2f33f 357c6c419bbb2316 f37f88b2bd8263bc ce033f1b466da33d c86f7a252955f4b1 4732cfe7779141ae 36d19509af1a8608 e7e66ff8fddce5db 4f4733c6f11c1b9e 56497a3f2f12de18 2102627765180b9d 0274c3c4895d8403 62ecb277bf4e92b9 bf76c381037ec1c3 39e28c7aa47f2645 7f57289970188902 d87fec4f275b63b3 374eb77a0e06ab5e 45621b509a416a3e 94f981af84a51982 36dbbeca4b985ae2 5915baab2148899c c9fdceadd0b8620d bcb57e9bb983c836 16604bd0bab124c5 457215b8f277f080 167441f6c884775d 491594bb91885c65 b9f030de0b5bc8eb 74d23542e7307b93 263e33d059d66fad 786dbe56da3b21da 1124e8144d6c44d8 93f4816f26e1269f 3420e2f7093a26b1 1b58c66858055203 f3f384e2c226bc09 16cc0100e5a4bcfc 182e2f1db36de6a5 06ff1b859a946a9c 5253e56fbe7a552e 6827f57d817c0800 416a9938422998fa 7bf80cc941038662
03ztb1gtRFC4K4vP,bf8fc181bc3246f2 a8dfe2ba26dbb2f6 33f4e73137ccc31a 4a3995d3637ea1ab b8ca1f735d145c9e 8f61500039e6e51a 4d452aa7a0be3763 f2b030a0c3c4dc0c f59971fb8976a501 0ec7014d3813ef49 ce573cebdc690288 d64f88ccd9bae396 916db63074389ca6 6a920b36f8ad8241 a5afb8923b2d1863 f4a78af5d8e7a2b6 fdb44aa28a9aca3a 013af795fdd2810d ae1ece47f963c752 2dd31b80b5656088 cf1cdbd414d17627 5f1640964aed84fc b4da378eeedbd331 ad83689df07dd111 1f6af402daef369f 3492fd50f9f22f7a e6c906e8939db0e2 0dccef273698cf7f 61bc94e10cc52203 f305a634b3eea623 c22a417b16ae2225 c1398553a601749f 8af6a23bf5b5e42a dd65917af30162a2 088a44e495600e59 9b35fffb8c4f9758 9010b8981f180a11 490e1361a11d1434 8c579f49324ebfc2 0214fddcf70fb7da 01fca175d51fb171 399d2b0ddb3739fd cfc490c731067e52 8e0070b633c3975a b90f5c64c9a657aa 8a559f63365e5549 49978426c970e223 71c99e1bc0f4c693 fad45e80bad34acd a6122e0ac5df3cc4
052l5ySkk2Asxdni,27d9121fa7546ac8 7bd36fb724570d91 3b414fcfcca8c33d 38e74abf2fb3d7dc 99f66549aab6dc9c f744ab157a2519e9 923ac0439b86b63d 999f5df76755859a 9e95453ffeaa8416 83b1a78c3a641cad d04b37733cf99a79 b27a31ec69daa554 a603f8d04e440273 48dc45fd9cfa80cc 29d267e0809c4c9e 2cacdd98fcaa7379 c6ff230bbbb95172 4569bdb05029715a 2222ce4052f95752 e72cb4d87ac8a4f6 f8d4255456f1a6fa d03adf058fc6b95d 1660ba9250f5608c 03d381bee010091c 57cb2e25557da40e 2af4580b4f2587ee fbe1c900e05ea00a d71609d3bc6595e7 74a9ac485333f428 0b40ab2834fd56c1 a0d4a32f05a8163c 9df3286504a1dfe5 a3b4c2b5685984a6 0c6ca74746bd8184 9c655304eef91aa9 e2e4bd565a0dbcc2 c54db1e06ee5f905 324ced6861daee31 1e8a45094b161594 35f2e2bd85894a85 27d6424908ffbd80 06bb77abf073c6a6 5ac45e43b04d0ca7 94d01f321fc0d629 0f01cfbc93e5e714 675269b4e2a4a8ab 2b39776a271cac17 c6fe4293e28cab49 d900628b9fe1e607 4b5896d5bbe1f371
06QIixa5pbkQaLnl,92565f1eb6dab23e 293cc7326b6e726b 22237f337584cb41 42fa06bf89c485a2 9be1f649f390d01f f33e60e4f21e4664 805fbfb7fa8f971b 3327edfdab67524f a911aa17f54259d5 0eb18fc7f024e9e6 b0723d7d9c5ed421 0f504b00a40e7d20 806fc8f50bdcf72b 7a3a0abca490a13f 1f24f19be4842d69 9860cefb0394d49d ae2e265d872da62e 2a17f5852946a2da 43557957dfb608af ab1f06ef415186cb ef6b191ca6d7e392 99d189fedbd40d7d 4266b44cf87ba1c5 4c9c57f7b276121f e8b901e83275c0e3 bac7596dac972700 a8627eb315c0b23a d8b3be8689cdb358 2563a3765002ea71 f65530d0e2347939 7feb591b799bf30c 175f1c502cf8e98f 79a16cd917bea4e7 cba53e25f842fe24 fb1c6562f1920b0f ac29718c22af12cc 1ed87151d966a9eb ebc30aae70bb0efb 3eda5a96d5b3b290 5a18cc25bf315da7 96027279ed01390d 9b2fd497dd4afee5 5a90f3f0b03180c4 a741288ceb4763f1 d8dddecb353838e0 8cc3fc09512f8201 61921ab7d26a63fe 3f9454829b2c54e9 d725d197c5c2eff5 ff3d71ae54e281ec
0A2x7ulC3KohJSRe,53f7f5708169712c 105861cd5ae0e0f5 c5694d749687b677 54413ec0c7d37b65 c38cd4ebc11e2008 8ebd8ee272488171 abefa4141c2c8906 6ed0b2e5c59404e5 65e33fb596005a7d 609569eb41c32e33 af0c8676ceeaaee6 6d44a37c46b4b32d f45e56c6fcb1ad25 4c9835c3cc27f051 2d0131b7dbb3a15e 25e5c106b85db98b e5bad65f4106c8bd be0fa42feb8b4480 6fa90ff90a51de89 da2b8f3f74393251 790a1ed6aa13ac76 98968162e8a33a58 1006fb8aa8044798 0a95de5be58b5280 154b2f32fca32bee d99e04ee5f937857 ea8781cf351fa882 dfb886709b745077 10db126395db3ab9 332423afdc96123d bf202dd6e288fc9c 6b73a30737136359 7555881f44c5e0c4 6da47299ca4897ed a91eccd2f9358bf0 76e1fd5f1630dc37 f1209e145fe755d3 02f639332f8071f7 ec1a112ab798d308 9765bae4d304b903 f2737a874f1ba8c3 2f1b8164d1803288 7bd5aefdb7ca04fc 3d4a47f3134ff3cc e9ea55962c40909b 124d853ae9f5813b dd074a1508953ac9 cb442f8de99d4665 55dcc0afd8d9319f 86866be6e55556c5
0CnJ7GrMV3RKqb9V,fe618b1e92423f4e ffe03841e6c216d6 3788757627ca9450 a8e43b1a49472b7a c437ac646bdf83c9 67db2859fc039f48 0d7a1dd71de5c534 26e5f6fab718a0e1 d276c804fb2e62ff 3b433426e74b3458 c56b4e73a5af1764 b99beb5ee864c3cf 243e65ad401483d9 65113b38153fbf2a 5d66886fdb62bc4c 7e7a0ca28bd602d3 c78e6039e0dd6ff1 748b398859facaf4 09a970552a1cc683 75d9c92cd3bab292 ee585932896594bd 016076fa30dbf41f 0ab2548755ea2e8b 49cedd878ec457bd a42a7965e0802d16 febe8b7750ace561 5230a19272271d1d 1bf993912c6fa761 aab34cb2b23eb5f4 a1c019d44ffd720f 407870585d3dfb90 c42d502795f09d75 ed00e098a434261c 5e8b85385d99ea57 ced549b166920d40 84a1af7d54a1e47b 5579e389002062fb eb8f8ce070c294dc c5fce9e4126f14a1 0e88c7c30ea7a0f9 546e7a2457fb0401 f50f436ead166ccb fc5e85c01d7f2883 828db078b1665613 74b4d3c51eb36772 5d46c2b8c29b7935 ebdc17b3fe15d7aa 88fc07f6efdbd3fa a9548dfc09049a07 51eb2bebef36fed3
0E3XH9ZmuossXRDy,57d69f3e2257ce98 9d475c898e2b98d1 2ac8ecdba8b0e5d2 50d592515198c822 b920cbca81d38d50 452b3023c3e3f1cc 082d444c42428522 46b03bcfc594459d 37d1e10c7067c80f 55604b87b25f88fd 1d0dcb10acfef086 290c9a31f57b9513 a9b633e781e640e1 d57e6b2fa64cbbd7 7528b542169d1254 4d2d7bba1c3b0285 ad50b401403f8a1c 1a19c5deb6100d2a 805e7e0d898ca214 8d086d977f91de3f f5e30a3b72a6606a a5b47ac9b8f8e4a6 881f02823eff975f d16a75f8e86ea92c 127aa18954a8b9f1 bbf2169d6a390e91 316734fd60b06f8a 6c0f3ee7f653fc3a a4d7fc09777119a6 9951939a7b2213cb 3a623e755c73c388 ad603151ffc3d88f 82d3e39fdd037d3e e87c3793138db91e 0a3475f83693d29c c6ec1eaabaef5147 af6d6c9b8b97f913 1e0a2c2914a2e33f 506e34d5a630bea5 2602a28983b7bf20 3afccdc29fa77aa7 990001d13c6d0deb 28bb8dec5b7b78bf 3a70bcb3086fd54b 628d48658e2a1fa8 55ef568bba974b46 0815341203fc0225 c472e5262bfb87c9 cca8ef7998ecb8cf 9211dee600d144ab
0EEODifOMhIN2d1p,30f3fabe707f6d79 8ee663ca5a1d9769 7ab59ee5f9bcf116 f6aa904559f26e0b c0fdd5899f898c82 55a57a6691f6a389 93ab3f305516be3b ba5665d933d4f938 73a2409d758bf82b 61d6b1f5a093042a 0b141a9d0084c9c4 81c8f2a610db34de 1ffd41b541299142 d49a6e0d30f6f2b4 2e7dbd5cb73c2097 b73fcd6cff8784cf 0e4dccf3e9d43748 ea6c1176ab855a16 6b50f74a41784289 53f313294289f532 ccfd2f3b425d0790 c59d62137295e524 e8d059b42ef64a34 3d7eb8de97c6a68b 42dfac33114a2978 73585765bd96d4e3 c3eb37fc900d2d01 eaf2ab034e38f695 89f0f162bbf9eba6 7f1d889782389a43 25893942dd9338fd 0cabfd4425f15fab 63a658791ef35837 6c3699bf2ce8042c 19fe77c5240ac87f 0c28763e40a80cb8 5128569b7d587ba8 0049d3c4f2cc52ad bc523d54828ef688 288a8e74d0c1499a 9c6e4c5a1527a546 6fab9d0b090a514c ae4f7d226b3ee162 50b76b10ae3f91b0 2e0098679b0a48e4 b4e62bf6e8b87aca eb71ac75a53fb2f7 d89e36714707ab89 e203cf80d3c24599 004c908d0ee41ddd
0EtYIZ26wGTSuK54,1cddadfd67539c9a 16aab088107a4d34 e5181218bf2749d0 6723ac544203e405 57f0c41e99aa679d 9714377e01cc09ad f17cfe88e33dcb75 d3cebf91afe3b5fd 4ef103b1dc8f8664 b4f6dad14c50181e a6becb44994631bc 69e574f0bed683a2 c5d9b2d268f76b1a 387744233ebc3ecc af3d3f1f1fb6985c 814a7a6ac59fb36f cf024eed3d564b86 0db450ec944841ce 1c9e7192c5e336f3 d4c134106f60fc66 87fc72a87c5af512 f6ff15248428621f 8748b434392b8aa3 0e788dc9a5f49c58 14b07ddc004c844e 4724241107cfa161 11f2f559d6d7931b 3a3c8e3d9168f9da df15641acf98b236 174acd4d2b387105 e72840cabc438300 07d13260e1247b57 fc5cf1b5667af78e 754d60f22cfd4a9a 3ce7ca2df69dcec2 96b180f476d8bd08 ccb086eb86877544 54802a71ff669f8a 72a74ff0f8633487 f63b865e2d3d7c3b fd250f8748520750 9b0a3d7a153c83ef 714bf75d29563b05 166a35cf953c54b7 a0ef2f32ac2ffe59 86a9727b5fb6c2ee b89cf22da7786696 7f778fb9d6af9043 abc1630c8d9563df 04291637ce876ff1
0KUO9HDVxP7tbjsa,0649f12f7a2ed455 745225ef35f707dd 228f7274fe410c73 4c76cadcfbe31f2c f1c966acbb113084 396a13c268ece2ac 63c9fe543be19892 06a60ef2af71212b b57234275b639073 a9eed78a9fee3194 cf05bb891847b87b 99b520f90ae93563 149dd2455212cb29 1ccd6006f0875ea1 b9477a6e7dfa0721 720a9245464e9c65 2c7aca41cb9b4d0e 697035c81aafe5a7 ca1b096122774d22 41ad4dd9976cc527 de14f0b631a60d57 81e8366b2abdc54e 169d02b0feb03c34 7531793ea2d455d6 37bedc658befede3 43c1b260c3d301eb 2dc7bfd7c4dcc5a6 12e27d04e6281333 79a74aead5b01003 8acf50359ced58ff 27bb2c04dbc16d17 97ddc54977647443 afbd6cc604182661 29ab413221e45703 8f990e335bb826fb 3a10cebea9da93e7 0718c05f33864718 3dd2738f0f443834 75d978f5a8064673 9d9a71eebe3f79ad 187df7e8207bd052 6ba0c92617efb47f c056a02dd4c53b57 e4e3446f4c9b3042 4c105cf781097925 f269ee61e28cd917 0b6def2a178f6275 b134376610df0cc1 38dee02f6176595e fb17a786565c0560
