query_id,answer
00WuFMaXSFZBxSzT,980953f92323e8d6 f3e39b2798e2f33f afb14ba082200999 357c6c419bbb2316 e7e66ff8fddce5db 2f82afc9946e6c84 36d19509af1a8608 2102627765180b9d 56497a3f2f12de18 4732cfe7779141ae c86f7a252955f4b1 ce033f1b466da33d f37f88b2bd8263bc f61c2546f43fc8d8 0274c3c4895d8403 62ecb277bf4e92b9 3420e2f7093a26b1 16604bd0bab124c5 d87fec4f275b63b3 36dbbeca4b985ae2 bcb57e9bb983c836 457215b8f277f080 c9fdceadd0b8620d 491594bb91885c65 1b58c66858055203 93f4816f26e1269f 75d44a1b48f4faab bf76c381037ec1c3 f3f384e2c226bc09 16cc0100e5a4bcfc 74d23542e7307b93 c90da827b4ad7b5a 182e2f1db36de6a5 7f57289970188902 06ff1b859a946a9c 1124e8144d6c44d8 263e33d059d66fad 5253e56fbe7a552e 6827f57d817c0800 416a9938422998fa 7bf80cc941038662 affe7703e98a831f 1e9a3f51aaa86449 8516bc4d17d4c540 adf1611110ee1dd4 89e12d1c9c62b8b3 11f66594b42ec26c 0b341d0662ae3b08 adc1007f75943c8f 6acf4b1d74048044
03ztb1gtRFC4K4vP,f4a78af5d8e7a2b6 a5afb8923b2d1863 088a44e495600e59 ae1ece47f963c752 01fca175d51fb171 399d2b0ddb3739fd cfc490c731067e52 8e0070b633c3975a b90f5c64c9a657aa 8a559f63365e5549 49978426c970e223 71c99e1bc0f4c693 33f4e73137ccc31a fad45e80bad34acd a6122e0ac5df3cc4 edf7fd82dcb43452 e3c1ba951ed69ce4 bb23c945d6ce3a75 0ec7014d3813ef49 2da4d7da8adee711 292a6fbcf4560543 5935f17cecd328ce 98de7146a18e70bb 1e309a6e17761772 8f8420842ec64b79 991aca8c73671fea af52eff578be6b98 ac39c27c9d68a3ce 4d452aa7a0be3763 de86bcd51ac211c8 6a36598e460f8d51 29f5b64452e34096 f8465d1c86025e6f 803b8e0c0211ea17 b51732b7fc9b9da7 a731600d2fed7e1e a8b67bbe943579d2 d806dfe0afa13662 b3d892060ed9166e aceaf738ad2f291a 30baf1fece9508ef 6d8773f7ce883d29 bf8fc181bc3246f2 8d909ea61b464a05 73421ecde5938c56 ea3f3eba8f47df51 61aed58355c1a5cd fe559cc2aada8156 914beb7d571ebc2b e100f3c0e2bf7ab1
052l5ySkk2Asxdni,7bd36fb724570d91 27d9121fa7546ac8 3b414fcfcca8c33d 99f66549aab6dc9c 9e95453ffeaa8416 923ac0439b86b63d d04b37733cf99a79 38e74abf2fb3d7dc 2cacdd98fcaa7379 29d267e0809c4c9e a603f8d04e440273 83b1a78c3a641cad 999f5df76755859a f744ab157a2519e9 e72cb4d87ac8a4f6 f8d4255456f1a6fa b27a31ec69daa554 e2e4bd565a0dbcc2 c6ff230bbbb95172 27d6424908ffbd80 06bb77abf073c6a6 4569bdb05029715a 48dc45fd9cfa80cc 5ac45e43b04d0ca7 94d01f321fc0d629 0f01cfbc93e5e714 675269b4e2a4a8ab 2b39776a271cac17 c6fe4293e28cab49 d900628b9fe1e607 4b5896d5bbe1f371 04a2a1ba47d1e9e0 6578b499e6574491 10caec12869ca504 3400c5d2aa241205 675a1fe276f4e97a 3034d802c6ae1404 7368d3bb62fd550c dc0fce3802596292 2878ee47cf383a4c 35f2e2bd85894a85 c54db1e06ee5f905 87b50bea92f13bc7 7de83208a98865ae 2d7845e82ca75615 efa31ae2a096e93e 4d40f54e47c2b2f8 4e9a8ed87d1ab1ce cb82172852505c11 06735701a7e18977
06QIixa5pbkQaLnl,92565f1eb6dab23e 22237f337584cb41 293cc7326b6e726b 42fa06bf89c485a2 9be1f649f390d01f f33e60e4f21e4664 b0723d7d9c5ed421 ab1f06ef415186cb a911aa17f54259d5 806fc8f50bdcf72b 805fbfb7fa8f971b 3327edfdab67524f 0f504b00a40e7d20 96027279ed01390d 2563a3765002ea71 0eb18fc7f024e9e6 175f1c502cf8e98f 9b2fd497dd4afee5 5a90f3f0b03180c4 a741288ceb4763f1 d8dddecb353838e0 fb1c6562f1920b0f f65530d0e2347939 5a18cc25bf315da7 1f24f19be4842d69 8cc3fc09512f8201 bac7596dac972700 61921ab7d26a63fe 3f9454829b2c54e9 d725d197c5c2eff5 ff3d71ae54e281ec 1ed87151d966a9eb 481398863704e042 a8627eb315c0b23a db3ddeee2a8b1f8d 8d4d4198540ba87f 1e8bfaad09027506 da7d4efcc9540cb4 9f5220af1ab3ebd9 ae2e265d872da62e 4ac4654e8762c65b 8e2ec91ba77ba5f1 a24a3ec9794ceafd bfb91eb48ff53036 1294f4bf6937287c 15c59f33b0f15981 d8b3be8689cdb358 7a3a0abca490a13f ef9d50ec0fc37b97 4c9c57f7b276121f
0A2x7ulC3KohJSRe,53f7f5708169712c c5694d749687b677 105861cd5ae0e0f5 790a1ed6aa13ac76 8ebd8ee272488171 65e33fb596005a7d 54413ec0c7d37b65 c38cd4ebc11e2008 6ed0b2e5c59404e5 d99e04ee5f937857 10db126395db3ab9 f2737a874f1ba8c3 abefa4141c2c8906 76e1fd5f1630dc37 2f1b8164d1803288 609569eb41c32e33 af0c8676ceeaaee6 6d44a37c46b4b32d 7bd5aefdb7ca04fc 3d4a47f3134ff3cc 6da47299ca4897ed e9ea55962c40909b 4c9835c3cc27f051 124d853ae9f5813b dd074a1508953ac9 be0fa42feb8b4480 cb442f8de99d4665 55dcc0afd8d9319f 6fa90ff90a51de89 86866be6e55556c5 ea8781cf351fa882 354488da180b798f c16818575ecda336 e649c9e6b036193a 77346fa7f61de3ff 1cfbbb4733114b1f 6e6d87f9d58b307b 5e6fef31e6fbf6cc d3ba597883b0a575 f636b00b9c9d31e0 fa0f4d71f1c01f00 26eac47b2eb1808c 11b2af4c565bbb73 dc7db1bd22e3a97e ee90a4c38fa86a88 559a455104cd61c9 a91eccd2f9358bf0 db153cd26ea15751 d413a91431469d86 eeb5c31bedb1ac3a
0CnJ7GrMV3RKqb9V,3b433426e74b3458 d276c804fb2e62ff fe618b1e92423f4e a8e43b1a49472b7a 67db2859fc039f48 243e65ad401483d9 ffe03841e6c216d6 c437ac646bdf83c9 c78e6039e0dd6ff1 0d7a1dd71de5c534 546e7a2457fb0401 ee585932896594bd 3788757627ca9450 0e88c7c30ea7a0f9 5d66886fdb62bc4c 016076fa30dbf41f 26e5f6fab718a0e1 65113b38153fbf2a f50f436ead166ccb 75d9c92cd3bab292 c56b4e73a5af1764 a1c019d44ffd720f 407870585d3dfb90 7e7a0ca28bd602d3 0ab2548755ea2e8b fc5e85c01d7f2883 828db078b1665613 74b4d3c51eb36772 5d46c2b8c29b7935 ebdc17b3fe15d7aa ced549b166920d40 eb8f8ce070c294dc 88fc07f6efdbd3fa a9548dfc09049a07 49cedd878ec457bd 51eb2bebef36fed3 26bc3ac754e4b8c3 e655bf18b2e002bc ace82cd6850dfa7e 84a1af7d54a1e47b 1bf993912c6fa761 8235de4b467fe453 dda26bcb5401a000 c5fce9e4126f14a1 c41fae8777e9a951 5579e389002062fb 76b25dadbdb19a08 d3f6a679cc59acca 43eedb6035ea219d a55cc3a2553660f2
0E3XH9ZmuossXRDy,55604b87b25f88fd 57d69f3e2257ce98 9d475c898e2b98d1 3afccdc29fa77aa7 2ac8ecdba8b0e5d2 50d592515198c822 1d0dcb10acfef086 46b03bcfc594459d b920cbca81d38d50 8d086d977f91de3f a9b633e781e640e1 d57e6b2fa64cbbd7 452b3023c3e3f1cc 37d1e10c7067c80f bbf2169d6a390e91 990001d13c6d0deb 28bb8dec5b7b78bf 3a70bcb3086fd54b 628d48658e2a1fa8 55ef568bba974b46 0815341203fc0225 c472e5262bfb87c9 cca8ef7998ecb8cf 9211dee600d144ab ec521441c7236446 805e7e0d898ca214 082d444c42428522 377be0df22b860ec bfcb5dcd98f85315 499c2848ba319dc2 bfd347792286ba4e f872d6a8126cd626 66e4225adc3b0b11 67cda0fca7bd379a 4d2d7bba1c3b0285 2980f8e723018366 adf15bbd40e2a3b7 e2a36acaf6f52e89 46be03b4f4b747a9 f2904ba6663de541 8144115ab3487a3b 9cdbef0093a30561 2fe77371f6549f5b ca65495983fda5f3 29b4199a2909c9a0 e6ad7a1914e08cd2 62f2774f341cf777 c5bff1382ebd4593 5fb7ec81d0c557ca 356749c7ce7713f5
0EEODifOMhIN2d1p,c0fdd5899f898c82 7ab59ee5f9bcf116 30f3fabe707f6d79 8ee663ca5a1d9769 93ab3f305516be3b f6aa904559f26e0b 2e7dbd5cb73c2097 9c6e4c5a1527a546 6b50f74a41784289 0b141a9d0084c9c4 e8d059b42ef64a34 25893942dd9338fd 73a2409d758bf82b 6c3699bf2ce8042c ba5665d933d4f938 61d6b1f5a093042a 0c28763e40a80cb8 6fab9d0b090a514c 55a57a6691f6a389 42dfac33114a2978 3d7eb8de97c6a68b 19fe77c5240ac87f ea6c1176ab855a16 81c8f2a610db34de ae4f7d226b3ee162 ccfd2f3b425d0790 c3eb37fc900d2d01 eaf2ab034e38f695 50b76b10ae3f91b0 2e0098679b0a48e4 b4e62bf6e8b87aca 73585765bd96d4e3 eb71ac75a53fb2f7 d89e36714707ab89 e203cf80d3c24599 004c908d0ee41ddd 0e4dccf3e9d43748 1ffd41b541299142 d9e1803380489817 189a6a77da77d588 5efeb94c3fede729 b73fcd6cff8784cf 63a658791ef35837 e3ca4d1cff554b6e dccfff1a386d7b91 0ea3e7d0099c5243 e658d187fba17146 44fd166b2aaad10c 9286b22e8e585786 4a5d37b3c09adb59
0EtYIZ26wGTSuK54,1cddadfd67539c9a 16aab088107a4d34 e5181218bf2749d0 6723ac544203e405 f17cfe88e33dcb75 57f0c41e99aa679d 9714377e01cc09ad 4ef103b1dc8f8664 a6becb44994631bc 69e574f0bed683a2 d3cebf91afe3b5fd c5d9b2d268f76b1a b4f6dad14c50181e 814a7a6ac59fb36f cf024eed3d564b86 387744233ebc3ecc 3a3c8e3d9168f9da 87fc72a87c5af512 14b07ddc004c844e 11f2f559d6d7931b f6ff15248428621f fc5cf1b5667af78e af3d3f1f1fb6985c 0db450ec944841ce 0e788dc9a5f49c58 df15641acf98b236 96b180f476d8bd08 8748b434392b8aa3 754d60f22cfd4a9a d4c134106f60fc66 fd250f8748520750 1c9e7192c5e336f3 9b0a3d7a153c83ef e72840cabc438300 174acd4d2b387105 4724241107cfa161 07d13260e1247b57 714bf75d29563b05 166a35cf953c54b7 a0ef2f32ac2ffe59 f63b865e2d3d7c3b 86a9727b5fb6c2ee b89cf22da7786696 7f778fb9d6af9043 abc1630c8d9563df 04291637ce876ff1 96b7c3dd0d359af2 a31770a107984258 3ce7ca2df69dcec2 517dbaf065e972f2
0KUO9HDVxP7tbjsa,228f7274fe410c73 745225ef35f707dd 0649f12f7a2ed455 4c76cadcfbe31f2c 99b520f90ae93563 63c9fe543be19892 396a13c268ece2ac b57234275b639073 cf05bb891847b87b 06a60ef2af71212b 187df7e8207bd052 1ccd6006f0875ea1 f1c966acbb113084 a9eed78a9fee3194 149dd2455212cb29 697035c81aafe5a7 37bedc658befede3 de14f0b631a60d57 ca1b096122774d22 41ad4dd9976cc527 81e8366b2abdc54e 3a10cebea9da93e7 720a9245464e9c65 2dc7bfd7c4dcc5a6 169d02b0feb03c34 2c7aca41cb9b4d0e 43c1b260c3d301eb 0718c05f33864718 b9477a6e7dfa0721 7531793ea2d455d6 6ba0c92617efb47f c056a02dd4c53b57 e4e3446f4c9b3042 4c105cf781097925 f269ee61e28cd917 0b6def2a178f6275 b134376610df0cc1 38dee02f6176595e fb17a786565c0560 9ec5bb7f9d0e5d93 c0d77d17da5d2064 d66354babbdb179c ce10a6705f2bb3a2 04b927065e05e5b4 dbaea80f6bfc8621 bf4ecee6310f7c11 b0f989dca9900894 879a73f77e42af39 173590a911ea62a4 f4c12548a3a906e0
